"Notebook","Text count","Description"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq187/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""L'anno di Delacroix, il '63. 26.10.1963 ; Colloqui con Berenson. 7.11.63 ; Gli inglesi a Firenze : (i disegni di Horm). 12.11.63"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq184/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Mario Ricci a Bassano. 2.9.1963 ; La natura morta di De Logu. 4.9.63 ; Toscani in natura morta. 22.9.963"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq169/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Un vecchio generale d'artiglieria : (Laclos). 8.12.962 ; Ritrattino di Antonio Baldini. 10.12.962 ; La fiera di Santa Lucia. 15.12.962"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq150/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Un figlio della rivoluzione : Gericault ; I cordai di porta Galliera. 1.12.'961 ; Una illustrazione per Valery. 5.12.1961"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq52/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Appunti - note varie ; Monsu Bernardo. Da febbraio 1957"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq167/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Arte messicana a Roma. 31.10.962 ; Hanno demolito una casa. 4.11.962 ; Introduzione alla citta di Bologna"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq124/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Presagi dell'autunno ; Ricordo di Supervielle"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq259/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Una notte alla fattoria : racconto. 26.12.969 ; La novella del Grasso Legnaiuolo. 5.1.1970"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq336/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Varie. 1947 : (la mia generazione letteraria) ; Giuseppe in Italia : primi appunti"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq110/object","3","Raimondi, Giuseppe. Quaderno manoscritto, ""Il fiorentino Mazzoni. (5.10.1959) ; Interni di Vuillard. (4.11.1959) ; Estate di San Martino. (10.11.1959)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq82/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Charles Peguy : (Valigia) ; L'album dei mille. Giugno 1958"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq170/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""Il Vitale da Bologna di Gnudi. 23.12.962 ; Marc Chagall. (2.1.1963)"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq237/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La signorina Mercedes. 12.1.1968 ; Deserto sulla terra. 27.1.1968"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq130/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""La Roma di Ingres ; Il primo giorno dell'anno. 27.12.60"""
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq403/object","2","Raimondi, Giuseppe. Quaderno manoscritto, ""L'Irlanda e un'isola di poeti. 23 gennaio 1979 ; Saint-Just, l'arcangelo del terrore. 1. versione"""
