Inventario;Tipo materiale dell'inventario;Valore inventariale;Prezzo acquisto;Dati scarto/cancellazione;Sezione;Collocazione;Specificazione;Sequenza;Data inv.;Stato copia;Disponibilità;Precisazione inventario;Tipo provenienza;Tipo materiale;Tipo documento;Id.;Id. SBN;Descrizione isbd;Legami con titoli superiori o supplementi
RDm 12 ;;0;0;;FR.A;CORRISP;SERRVL; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625390;;"[*Lettera 1947 dicembre 26], Lido di Camaiore [a Giuseppe] Raimondi / Luigi Serravalli. - [1947]. - 1 c. ; 134 x 204 mm + 1 busta. ((Data tratta dal timbro postale. - Ds.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 13 ;;0;0;;FR.A;CORRISP;SERRL; ;22/02/93;;;B 1, C 4, L 1;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625391;;"[*Biglietto postale, cartoline e lettera 1948 aprile 9 - 1950 gennaio 9, Reggio Emilia e Gruppo di Sella] [a Giuseppe] Raimondi / Luciano Serra. - [1948-1950]. - 8 p. su 6 c. ; 191 x 148 mm + 1 busta. ((Date e luoghi tratti dai timbri postali.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 14 ;;0;0;;FR.A;CORRISP;SENAO; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625393;;"[*Lettera] 1965 agosto 20, Torino [a Giuseppe Raimondi] / [Ottone?] Senani. - 1965. - 1 c. ; 296 x 210 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 15 ;;0;0;;FR.A;CORRISP;SEMEP; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625394;;"[*Cartolina postale 1924 aprile 2, Venezia] [a Giuseppe] Raimondi / [Pio?] Semeghini. - [1924]. - 1 c. ; 140 x 90 mm. ((Data e luogo tratti dal timbro postale. - Mancante dell'angolo col francobollo. - Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 16 ;;0;0;;FR.A;CORRISP;SEGAA; ;22/02/93;;;L 2;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625395;;"[*Lettere] 1963 giugno 6 - 1963 giugno 19, Genova [a Giuseppe] Raimondi / Amos Segala. - 1963. - 3 c. ; 284 x 222 mm + biglietto da visita. ((Lettere su carta intestata ""Columbianum"". - Biglietto da visita con appunto ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 17 ;;0;0;;FR.A;CORRISP;GAZZOL; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625397;;"[*Lettera] 1960 gennaio 8, Verona [a Giuseppe Raimondi] / Elena Gazzola Schiavi. - 1960. - 2 p. su 1 c. ; 272 x 191 mm. ((Lettera ms. su carta intestata personale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 18 ;;0;0;;FR.A;CORRISP;SUTTG; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625396;;"[*Lettera 19..?] settembre 27, Bologna [a Giuseppe] Raimondi / Gertrud Sutton. - [19..?]. - 1 c. ; 265 x 184 mm. ((Lettera ms. su carta intestata ""Hotel Berchielli, Firenze"".";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 19 ;;0;0;;FR.A;CORRISP;SUPIC; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625398;;"[*Lettera] 1961 novembre 20, Bologna [a Giuseppe] Raimondi / Camillo Supino. - 1961. - 1 c. ; 217 x 154 mm + 1 busta. ((Ms.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 20 ;;0;0;;FR.A;CORRISP;STRAP; ;22/02/93;;;;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625399;;"[*Lettera] 1954 gennaio 28, S. Bartolomeo di Crema [a Giuseppe] Raimondi / Paolo Stramezzi. - 1954. - 1 c. ; 273 x 211 mm + 1 busta. ((Lettera ms. su carta intestata personale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
RDm 21 ;;0;0;;FR.A;CORRISP;STOPV; ;22/02/93;;;L 1, C 1;A ACQUISTO;Mat. document.-manoscr;Carteggio;3625401;;"[*Lettera e cartolina illustrata] 1969 gennaio 22 - [1971 luglio 27], S. Sofia [a] Giuseppe Raimondi / Vero Stoppioni. - 1969-[1971]. - 3 c. ; 221 x 166 mm + 1 busta. ((Lettera ms. su carta intestata personale. - Data della cartolina tratta dal timbro postale.";FA PARTE DI Mat. document.-manoscr 3621047 [*Corrispondenza di Giuseppe Raimondi]. - Fascicoli. ((Organizzata dallo stesso Giuseppe Raimondi in ordine di mittente.
