"Variant text","Title","Document"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/i-tetti-sulla-citta-19731976/una-forca-per-il-poeta-francois-villon","Una forca per il poeta François Villon","https://w3id.org/giuseppe-raimondi-lod/printed-volume/mc0571/object"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/i-tetti-sulla-citta-19731976/una-forca-per-il-poeta-francois-villon","Una forca per il poeta François Villon","https://w3id.org/giuseppe-raimondi-lod/printed-volume/rai5105/object"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/i-tetti-sulla-citta-19731976/una-forca-per-il-poeta-francois-villon","Una forca per il poeta François Villon","https://w3id.org/giuseppe-raimondi-lod/printed-volume/rl7137/object"
