"Notebook text","Title"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq2/text/2","Dei colombi in una facciata"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq2/text/2","I piccioni di Santa Lucia"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq2/text/2","L'anno '43"
