"Annotated text","Annotation","Page"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Mostri, prodotti dei pensieri","100"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Idee mostri","100"
