"Variant text","Title"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/i-tetti-sulla-citta-19731976/una-forca-per-il-poeta-francois-villon","Una forca per il poeta François Villon"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/gelo-invernale-e-nostalgia-di-legna-accesa-19760607","Una forca per il poeta François Villon"
