"Mail","Published in"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/3","https://w3id.org/giuseppe-raimondi-lod/pub-text/la-valigia-delle-indie-1955"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/2","https://w3id.org/giuseppe-raimondi-lod/pub-text/la-valigia-delle-indie-1955"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/1","https://w3id.org/giuseppe-raimondi-lod/pub-text/la-valigia-delle-indie-1955"
