"Notebook","Title","Page count"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq79/object","Fantasmi di Ruzzante : (Gli stracci di Ruzzante)","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq79/object","Fantasmi di Ruzzante : (Gli stracci di Ruzzante) ; La prosa contemporanea. Aprile, maggio 1958","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq89/object","Il fantasma di Dada. 14 novembre 1958 ; Fine di settembre a Zurigo. 21.11.58","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq89/object","Il fantasma di Dada. 14 novembre 1958","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq16/object","Scrittori al microfono ; Prefazione a Mignon. Gennaio 1955","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq16/object","Scrittori al microfono","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq163/object","Il classicismo del Seicento in Italia e la pittura di paesaggio","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq191/object","La luna nuova","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq236/object","Meryon e Baudelaire. 29.8.967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq236/object","Meryon e Baudelaire. 29.8.967 ; Sono ritornati i colombi : (il Novellino). 29.9.967","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq240/object","Giacobbe e l'angelo. 6.3.1968 ; Ritagli. 1. 18.3.1968 ; Una visita imbarazzante : (Domenico Giordani). 23.3.1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq240/object","Giacobbe e l'angelo. 6.3.1968","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq302/object","Uno scrittore nella condizione italiana dell'anno 1929. 16.4.76 ; Briciole di ricordi su Roberto Longhi. 13.5.76","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq302/object","Uno scrittore nella condizione italiana dell'anno 1929. 16.4.76","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq181/object","Petrarca. 20.9.1961","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq181/object","Petrarca. 20.9.1961 ; Piccola fantasia sul Petrarca : (Petrarca visto in sogno). 6.7.1963","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq156/object","Bologna cento anni fa : conferenza per la Societa toscana per la storia del Risorgimento. Marzo 1962","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq146/object","Gustave Moreau al Louvre ; Il quartiere di Pascal ; La cucina di Chardin","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq146/object","Gustave Moreau al Louvre","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq385/object","Gli anni del ginnasio. 27.2.1977","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq221/object","Il Monsieur Teste di Longanesi. 12.4.1966","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq221/object","Il Monsieur Teste di Longanesi. 12.4.1966 ; Gustavo Courbet in edicola. 23.4.966 ; Saluto a Carlo Carra. 27.4.966","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq259/object","Una notte alla fattoria : racconto. 26.12.969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq259/object","Una notte alla fattoria : racconto. 26.12.969 ; La novella del Grasso Legnaiuolo. 5.1.1970","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq254/object","Luca orologiaio : racconto. 21.7.969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq254/object","Luca orologiaio : racconto. 21.7.969 ; Le sorelle. 31.8.969","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq165/object","La morte di Pascal. 30.8.62","10 carte"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq24/object","La valigia delle Indie. Aprile, maggio 1955","10 carte"
