"Mail","Language"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/3","http://id.loc.gov/vocabulary/iso639-2/ita"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/2","http://id.loc.gov/vocabulary/iso639-2/ita"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/1","http://id.loc.gov/vocabulary/iso639-2/ita"
