"Text","Textual variation"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq2/text/2","https://w3id.org/giuseppe-raimondi-lod/textvar-1"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq2/text/2","https://w3id.org/giuseppe-raimondi-lod/textvar-1"
"https://w3id.org/giuseppe-raimondi-lod/notebook/rdq2/text/2","https://w3id.org/giuseppe-raimondi-lod/textvar-1"
