"Annotated text","Annotation"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Mostri, prodotti dei pensieri"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Idee mostri"
