"Mail","Origin"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/3","https://w3id.org/ficlitdl/place/paris"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/2","https://w3id.org/ficlitdl/place/paris"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/1","https://w3id.org/ficlitdl/place/paris"
