"Mail","Mentioned Work"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/3","https://w3id.org/giuseppe-raimondi-lod/pub-text/il-cartesiano-signor-teste-1928"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/2","https://w3id.org/giuseppe-raimondi-lod/pub-text/ringraziamento-a-commerce-1925"
"https://w3id.org/giuseppe-raimondi-lod/letter/rdm831/object/1","https://w3id.org/giuseppe-raimondi-lod/pub-text/divagazioni-intorno-a-paul-valery-1925"
