"Annotated text","Annotation","Date"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Mostri, prodotti dei pensieri","https://w3id.org/giuseppe-raimondi-lod/time-span/1925-01-01_1925-03-30"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Idee mostri","https://w3id.org/giuseppe-raimondi-lod/time-span/1925-01-01_1925-03-30"
