"Publication","Carrier shelfmark"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/comunita-1954-25","FR PER COMUNI 1954"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/mignon-racconti-1955","FR Archivio MIGNON"
