"Annotated text","Annotation","Type"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Mostri, prodotti dei pensieri","https://w3id.org/ficlitdl/ontology/handwriting"
"https://w3id.org/giuseppe-raimondi-lod/pub-text/preface-1925","Idee mostri","https://w3id.org/ficlitdl/ontology/handwriting"
