Inventario;Specificazione;Sequenza;Titolo;Edizione;Permalink;;;;;;;;;;;;;;;;;;;;;
RDq 79;1958;10;Fantasmi di Ruzzante [Gli stracci di Ruzzante];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 79;1958;;La prosa contemporanea (La prosa italiana moderna [Scrivere in prosa italiana]);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 80;1958;11;La trattoria dei cacciatori;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 80;1958;;Ritorno a Pontecchio (La fiera di Pontecchio) ;ED (Ritorno in città);https://sol.unibo.it/SebinaOpac/resource/ritorno-in-citta-8-capitoli-e-due-canti-del-popolo-bolognese/UBO0391990;;;;;;;;;;;;;;;;;;;;;
RDq 81;1958;12;Di alcune date (Una settimana storica);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 81;1958;;Gérard de Nerval [La favola di Nerval];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 82;1958;13;Charles Péguy (Valigia) [Saluto a Péguy];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 82;1958;;L'album dei Mille (Quelli di Marsala);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 83;1958;14;Il Barocci a via della Lungara;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 83;1958;;Il panierone di Cuccoli;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 84;1958;15;Un pittore e un poeta alessandrino (De Pisis e Cavafis);ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 84;1958;;Gli amici al caffè della Barchetta [Gli amici al caffè];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 84;1958;;Isacco Babel riabilitato;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 85;1958;16;Sotto la villa Aldini;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 85;1958;;I viaggi di Brandi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 86;1958;17;L'alba del Memoriale 64;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 86;1958;;Il Porto Naviglio del Basoli;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 86;1958;;Lorenzo Montano, ricordo;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 87;1958;18;Apollinaire: 9 novembre 1918;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 87;1958;;Giorno di Natale (Pensiero di Natale);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 88;1958;19;ll fanstasma di Dada;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 88;1958;;Fine di settembre a Zurigo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 89;1958;20;Per le strade di Bologna (Vedute di Bologna);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 89;1958;;A proposito di A. Modigliani;ED (Comunità n.68 1959)?;;;;;;;;;;;;;;;;;;;;;;
RDq 90;1958;21;Il Bellotto a Varsavia;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 90;1958;;"Considerazioni su Don Giovanni (La favola di Don Giovanni; Il povero Don GIovanni)";ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 91;1958;22;Nota su Antonin Artaud [Il segreto di Antonin Artaud];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 92;1958;23;"I disegni ""romani"" di Ingres; Ingres ""romano""";ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 93;1959;01;Pubblicità economica anno 1914 Resto del Carlino;ED? (Appunti);;;;;;;;;;;;;;;;;;;;;;
RDq 94;1959;02;Le chiese nella città (Corrado Corazza);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 95;1959;03;L'otto di spade;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 95;1959;;I quarant'anni della Ronda;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 96;1959;04;Una domenica di febbraio;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 96;1959;;Il bottaio del Comunale;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 97;1959;05;Michael Sweerts (brussellese);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 97;1959;;La casa di Mallarmé a Valvins;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 98;1959;06;Il tempo degli aereoplani;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 98;1959;;Le memorie di Casanova [Le memorie: l'uomo Casanova];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 99;1959;07;Giotto;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 99;1959;;Il Giotto di Cesare Gnudi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 100;1959;08;La signora La Fayette;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 100;1959;;Le vecchie librerie;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 101;1959;09;Guido Cagnacci : (mostra, 1959);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 101;1959;;Guido Cagnacci, romagnolo [Guidus Cagnaccius];ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 102;1959;10;Un canto di soldati ;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 102;1959;;Stendhal e il realismo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 102;1959;;I poeti di Ferrara;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 103;1959;11;Cartadifrancia;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 103;1959;;I milanesi di Vuillard;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 104;1959;12;La favola del Mastelletta;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 104;1959;;Le notti dell'Archiginnasio;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 105;1959;13;Storie d'amore;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 105;1959;;"Il caso ""Henri Michaux""";ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 106;1959;14;Soffici in tipografia [Il 14 luglio di Soffici ovvero il pittore in tipografia];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 106;1959;;La montagna dietro la stazione;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 107;1959;15;Stufe & termosifoni;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 107;1959;;I camaleonti in farmacia;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 108;1959;16;Radiguet in abito da sera;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 108;1959;;Paul Klee : appunti (Le meraviglie? del professor Klee);ED (Un occhio sulla pittura)?;;;;;;;;;;;;;;;;;;;;;;
RDq 109;1959;17;La notte di San Lorenzo;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 109;1959;;Neve che si scioglie (Disgelo);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 135;1959;18;Una tragedia ad Anversa;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 135;1959;;Jouhandeau, un figlio della Chiesa;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 110;1959;19;Il fiorentino Mazzoni (Il fiorentino Sebastiano Mazzoni, a Venezia);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 110;1959;;Interni di Vuillard;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 110;1959;;Estate di San Martino;"ED (Le domeniche d'estate; Le nevi dell'altro anno)";https://sol.unibo.it/SebinaOpac/resource/le-domeniche-destate/UBO0858901;;;;;;;;;;;;;;;;;;;;;
RDq 111;1959;20;Sul prato di Villa Corni ;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 111;1959;;"Il ""nominato"" Domenico Giordani";ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 111;1959;;Su William Faulkner;ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 112;1959;21;Natale fuori di casa : (Il collaudo) ;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 112;1959;;Corazzini (La valigia delle Indie);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 112;1959;;Dialogo dei cani;ED (Il nero e l'azzurro);https://sol.unibo.it/SebinaOpac/resource/il-nero-e-lazzurro-racconti-19681969/UBO1008462;;;;;;;;;;;;;;;;;;;;;
RDq 113;1960;01;Il Reno a Casteldebole;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 113;1960;;Laforgue celibataire [I paragoni di Laforgue];ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 113;1960;;La casa vecchia;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 114;1960;02;Sbarbaro, come pittore;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 114;1960;;Una sera di carnevale;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 114;1960;;Innocenza ed esperienza del Doganiere;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 115;1960;03;Una notte di Baudelaire (Un pianto di notte) [Un pianto nella notte];ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 115;1960;;Gente di pianura;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 115;1960;;Una visita di Giotti ;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 116;1960;04;Finisce la guerra;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 116;1960;;Lettera ad Alberto Mondadori [Lettera al mio editore];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 116;1960;;Le carnet de la Californie di Picasso;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 117;1960;05;La villeggiante di San Luca;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 117;1960;;Campo di ebrei;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 117;1960;;Il taccuino del volontario;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 117;1960;;L'ultimo Valéry;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 118;1960;06;Il Radiguet per Guanda;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 119;1960;07;Il viaggio del Canova;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 119;1960;;Gli amici a pranzo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 119;1960;;La cestina del gelato;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 120;1960;08;Le cave di Maiano;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 120;1960;;Il Carlo Porta di D. Isella (Carlo Porta, il dialetto, la poesia) [Leggendo il Porta di Dante Isella];ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 120;1960;;La piazza nel sole;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 121;1960;09;Noterella su Diego Valeri;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 122;1960;10;Quattro litografie di Soffici;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 122;1960;;Il mare del passato;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 123;1960;11;Estaminet La Fleur en Papier Dore (Il Mondo);ED (Il Mondo);;;;;;;;;;;;;;;;;;;;;;
RDq 123;1960;;I piaceri della pittura di Cecchi;ED? (recensione);;;;;;;;;;;;;;;;;;;;;;
RDq 124;1960;12;Presagi dell'autunno ;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 124;1960;;Ricordo di Supervielle;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 125;1960;13;Degas da Durand-Ruel (A una mostra di Degas);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 125;1960;;Novembre a Comacchio;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 125;1960;;Pomeriggio di novembre;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 126;1960;14;Il custode di Port-Royal;ED (Grande compianto della città di Parigi);;;;;;;;;;;;;;;;;;;;;;
RDq 126;1960;;Verso le sei di sera (Parigi);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 126;1960;;Segno e Immagine di Brandi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 128;1960;15;Alla stazione di Astapovo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 128;1960;;I poeti di Parigi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 127;1960;16;Apollinaire e le arti figurative : per la mostra Apollinaire a Roma;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 129;1960;17;Il canditaio : racconto;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 129;1960;;I disegni di Paul Klee;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 130;1960;18;La Roma di Ingres;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 130;1960;;Il primo giorno dell'anno;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 131;1961;01;Almanacchi, almanacchi nuovi, lunari nuovi;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 131;1961;;Vita e pittura di Ottone Rosai;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 132;1961;02;Storia di Carlo Carrà (Gli ottanta anni di Carrà);ED (RdC 8.3.61);;;;;;;;;;;;;;;;;;;;;;
RDq 133;1961;03;Vecchio mantovano (Il vecchio e il bambino);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 133;1961;;Taccuinetto faentino di Dino Campana;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 134;1961;04;"Blaise Cendras : ""la conferenza"" (Il mio amico Cendrars)";ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 136;1961;05;"Marcel Schwob ancora [I due ""assassini"" di Marcel Schwob]";ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 136;1961; ;Conversazione verso sera;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 137;1961;06;Il doganiere Rousseau e gli altri;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 137;1961;;Pierre Reverdy : 1917;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 137;1961;;Manara Valgimigli;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 138;1961;07;I viaggi di Ungaretti;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 138;1961;;L'Africa di Rimbaud;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 139;1961;08;La pista degli automobilini;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 139;1961;;Un dialogo di Leopardi;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 139;1961;;Fantasia sullo scultore Brancusi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 140;1961;09;Ritrattini romagnoli;ED;;;;;;;;;;;;;;;;;;;;;;
RDq 141;1961;10;Le sculture di Daumier;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 141;1961;;Un uomo intraprendente;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 142;1961;11;Ritratti romagnoli;ED (Tuttitalia, Emilia Romagna, vol. 2);https://sol.unibo.it/SebinaOpac/resource/ritratti-romagnoli/UBO3680789;;;;;;;;;;;;;;;;;;;;;
RDq 143;1961;12;Pascal a casa sua;ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 144;1961;13;Qualche annotazione sul Bacchelli bolognese;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 145;1961;14;La mostra di Giovanni Romagnoli;ED catalogo?;;;;;;;;;;;;;;;;;;;;;;
RDq 162;1961;15;"Mantegna (La mostra di Andrea Mantegna; Ritorno a Mantova)";ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 162;1961;;Classicismo e natura in Mantegna;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 146;1961;16;Gustave Moreau al Louvre [Gustave Moreau, fra il Louvre e l'Opera];ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 146;1961;;Il quartiere di Pascal;ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 146;1961;;La cucina di Chardin;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;17;Dopo Parigi : appunti;;;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;;Il quartiere di Pascal (appunti);ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;;I mattini di P. Valéry (appunti);ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;;Il bagno turco di Ingres;ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;;I pazzi, i negri, i cavalli di Gericault;assente;;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;;La cucina di Chardin;assente;;;;;;;;;;;;;;;;;;;;;;
RDq 147;1961;;Il museo Rodin;assente;;;;;;;;;;;;;;;;;;;;;;
RDq 148;1961;18;Un proletario al Louvre;ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 148;1961;;Al museo Rodin [Lo scultore della Belle Époque];ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 149;1961;19;I disegni di Lea Colliva;ED (Prefazione);;;;;;;;;;;;;;;;;;;;;;
RDq 150;1961;20;Un figlio della rivoluzione: Gericault [Gericault, un figlio della Francia];ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 150;1961;;I cordai di porta Galliera;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 150;1961;;Una illustrazione per Valéry;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 151;1961;21;Verga nel paesaggio siciliano;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 151;1961;;Gli artisti nel loro studio;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 151;1961;;Jackson Pollock e la Fornarina;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 152;1962;01;I disegni di Michelangelo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 152;1962;;Una rivista letteraria a Bologna : (La Raccolta 1918);ED (L'approdo n.16 1961);https://sol.unibo.it/SebinaOpac/resource/una-rivista-letteraria-a-bologna/UBO3679862;;;;;;;;;;;;;;;;;;;;;
RDq 153;1962;02;La partita al pallone del mercoledi (Il giuoco del pallone);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 153;1962;;L'estetica del Camaleonte (Il cielo della stanza);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 154;1962;03;La rondine di Banquo;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 154;1962;;Oskar Kokoschka;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 155;1962;04;"Un ""Giani - 1962"" (Avevo visto ammazzare un bambino)";ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 155;1962;;Disegni e poesia di Michelangelo;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 156;1962;05;Bologna cento anni fa : conferenza per la Societa toscana per la storia del Risorgimento;ED (Dattiloscritto);;;;;;;;;;;;;;;;;;;;;;
RDq 157;1962;06;Un momento della nostra vita;ED (RdC);;;;;;;;;;;;;;;;;;;;;;
RDq 157;1962;;I grandi romantici inglesi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 158;1962;07;Le stampe del Piranesi;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 158;1962;;Pascoli, e il paesaggio di Romagna;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 158;1962;;Il canonico Malvasia;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 159;1962;08;La peste di Bologna (Il colera nella città);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 160;1962;09;Evviva il gas (considerazioni sull'arte di oggi);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 160;1962;;Della memoria dei fatti lontani (Il cielo della stanza);ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 161;1962;10;Osservazioni su Giovanni Verga [Il lavoro di Verga];ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 161;1962;;I primitivi americani;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 163;1962;11;Il classicismo del Seicento in Italia e la pittura di paesaggio ;appunti;;;;;;;;;;;;;;;;;;;;;;
RDq 163;1962;;allegato 2;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 164;1962;12;Odilon Redon, il pittore visionario;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 164;1962;;L'armeno Arshile Gorky a Venezia;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 164;1962;;Viaggio a Bassano;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 165;1962;13;La morte di Pascal (Nel terzo centenario della morte di Pascal);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 166;1962;14;Canti popolari emiliani;ED (RdC 6.10.1962);;;;;;;;;;;;;;;;;;;;;;
RDq 166;1962;;Ugo e Diego Valeri;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 166;1962;;La morte dell'eroe;ED (Un occhio sulla pittura);https://sol.unibo.it/SebinaOpac/resource/un-occhio-sulla-pittura/UBO0748836;;;;;;;;;;;;;;;;;;;;;
RDq 167;1962;15;Arte messicana a Roma;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 167;1962;;Hanno demolito una casa;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 167;1962;;Introduzione alla città di Bologna;ED? (Attraverso l'Italia. N. S);;;;;;;;;;;;;;;;;;;;;;
RDq 168;1962;16;La Cronaca Bottrigari;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 168;1962;;"""Frontespizio"" per il Compianto della citta di Parigi";ED (Grande compianto della città di Parigi);https://sol.unibo.it/SebinaOpac/resource/grande-compianto-della-citta-di-parigi-19601962/UBO1442553;;;;;;;;;;;;;;;;;;;;;
RDq 168;1962;;La raccolta Berenson;ED?;;;;;;;;;;;;;;;;;;;;;;
