Inventario;Specificazione;Sequenza;Titolo;Edizione;Permalink;;;;;;;;;;;;;;;;;;;;;
RDq 18;1955;03;Cortile bolognese;ED (Mignon);https://sol.unibo.it/SebinaOpac/resource/mignon-racconti/UBO0036368;;;;;;;;;;;;;;;;;;;;;
RDq 19;1955;04;Gérard de Nerval [Un poeta impiccato];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 19;1955;;Un sogno dell'anno '43 (al mi papa l'è anda a la fira);"ED (Le nevi dell'altro anno; I bachi da seta)";https://sol.unibo.it/SebinaOpac/resource/le-nevi-dellaltro-anno-racconti-19671968/UBO0337174;;;;;;;;;;;;;;;;;;;;;
RDq 19;1955;;La radio del signor Pietro;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 20;1955;05;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 20;1955;;Il Conrad di Jahier;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 20;1955;;Con Maccari, a Bologna;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 21;1955;06;Arturo Rimbaud [Rimbaud];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 22;1955;07;La valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 22;1955;;Leda [Leda, una favola];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 22;1955;;Una festa a Imola [I vecchi internazionalisti];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 22;1955;;Clemente Rèbora;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 23;1955;08;Varie, aprile 1955;;;;;;;;;;;;;;;;;;;;;;;
RDq 23;1955;;Carlo Porta [Mi sont Carlo Porta];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 24;1955;09;La valigia delle Indie aprile maggio 1955;;;;;;;;;;;;;;;;;;;;;;;
RDq 24;1955;;Apollinaire e Cendrars;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 24;1955;;Lettera a un poeta [Lettera a un amico poeta];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 24;1955;;Giovanni Verga [Verga al Ristorante vegetariano];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 25;1955;10;Varie, 1953;;;;;;;;;;;;;;;;;;;;;;;
RDq 25;1955;;La cronaca del Poliziano;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 25;1955;;Rime di Dante (Le rime di Dante e gli scultori Pisani);appunti ;;;;;;;;;;;;;;;;;;;;;;
RDq 25;1955;;Ricordo delle Rime;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 26;1955;11;Una vecchia bolognese [Una vecchia del Passerotti];ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 26;1955;;Antonio Fiacchi scrittore;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 26;1955;;Tre lettere di Valéry;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 27;1955;12;Valigia delle Indie Settembre 1955;;;;;;;;;;;;;;;;;;;;;;;
RDq 27;1955;;(Senza titolo) [Zio Francesco];ED (Ritorno in città);https://sol.unibo.it/SebinaOpac/resource/ritorno-in-citta-8-capitoli-e-due-canti-del-popolo-bolognese/UBO0391990;;;;;;;;;;;;;;;;;;;;;
RDq 27;1955;;Umberto Saba;appunti ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 27;1955;;Cosa fanno i poeti?;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 28;1955;13;Radio, ottobre 1955;;;;;;;;;;;;;;;;;;;;;;;
RDq 28;1955;;Risposta per la radio;appunti;;;;;;;;;;;;;;;;;;;;;;
RDq 28;1955;;Scrittori al microfono;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 29;1955;14;Valigia delle Indie;;;;;;;;;;;;;;;;;;;;;;;
RDq 29;1955;;Lacerba futurista;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 29;1955;;Sbarbaro [Sbarbaro e altri];ED (Lo scrittoio);https://sol.unibo.it/SebinaOpac/resource/lo-scrittoio/UBO0400643;;;;;;;;;;;;;;;;;;;;;
RDq 30;1955;15;"Bastianino detto ""Gratella""";ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 31;1955;16;Vecchie botteghe a Bologna (Botteghe a Bologna);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 31;1955;;Radiguet o del disegno;ED (Le linee della mano);https://sol.unibo.it/SebinaOpac/resource/le-linee-della-mano-saggi-letterari-19561970/UBO0909072;;;;;;;;;;;;;;;;;;;;;
RDq 31;1955;;Fotografie per la valigia (Fotografie);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 32;1955;17;Rosai;appunti;;;;;;;;;;;;;;;;;;;;;;
RDq 32;1955;;Il tabernacolo di via San Leonardo;ED (La valigia delle Indie);https://sol.unibo.it/SebinaOpac/resource/la-valigia-delle-indie/UBO0723747;;;;;;;;;;;;;;;;;;;;;
RDq 33;1956;01;Progetti di novelle (o Racconti) Due donne quasi vecchie...;ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 34;1956;02;"Valigia e altro (progetti); Meryon";;;;;;;;;;;;;;;;;;;;;;;
RDq 34;1956;;"Per la Valigia; Una stampa di Méryon";ED (Un occhio sulla pittura)?;;;;;;;;;;;;;;;;;;;;;;
RDq 34;1956;;Una stampa di Méryon (2a versione);ED?;;;;;;;;;;;;;;;;;;;;;;
RDq 35;1956;03;La natura morta;ED (Comunità n. 59 1958)?;;;;;;;;;;;;;;;;;;;;;;
